MADEMOISELLE	O	-
FIFI	O	-
MARROCA	O	-
Mon	O	-
ami	O	-
,	O	-
tu	O	-
m'	O	-
as	B-EVENT	9
demandé	I-EVENT	-
de	O	-
t'	B-EVENT	9
envoyer	I-EVENT	-
mes	O	-
impressions	O	-
,	O	-
mes	O	-
aventures	O	-
,	O	-
et	O	-
surtout	O	-
mes	O	-
histoires	O	-
d'	O	-
amour	O	-
sur	O	-
cette	O	-
terre	O	-
d'	O	-
Afrique	O	-
qui	O	-
m'	O	-

mes	O	-
aventures	O	-
,	O	-
et	O	-
surtout	O	-
mes	O	-
histoires	O	-
d'	O	-
amour	O	-
sur	O	-
cette	O	-
terre	O	-
d'	O	-
Afrique	O	-
qui	O	-
m'	O	-
attirait	O	-
depuis	O	-
si	O	-
longtemps	O	-
.	O	-
Tu	O	-
riais	O	-
beaucoup	O	-
,	O	-
d'	O	-
avance	O	-
,	O	-
de	O	-
mes	O	-
tendresses	O	-
noires	O	-

attirait	O	-
depuis	O	-
si	O	-
longtemps	O	-
.	O	-
Tu	O	-
riais	O	-
beaucoup	O	-
,	O	-
d'	O	-
avance	O	-
,	O	-
de	O	-
mes	O	-
tendresses	O	-
noires	O	-
,	O	-
comme	O	-
tu	O	-
disais	O	-
;	O	-
et	O	-
,	O	-
tu	O	-
me	O	-
voyais	O	-
déjà	O	-
revenir	O	-
suivi	O	-
d'	O	-
une	O	-
grande	O	-

,	O	-
comme	O	-
tu	O	-
disais	O	-
;	O	-
et	O	-
,	O	-
tu	O	-
me	O	-
voyais	O	-
déjà	O	-
revenir	O	-
suivi	O	-
d'	O	-
une	O	-
grande	O	-
femme	O	-
en	O	-
ébène	O	-
,	O	-
coiffée	O	-
d'	O	-
un	O	-
foulard	O	-
jaune	O	-
,	O	-
et	O	-
ballottante	O	-
en	O	-
des	O	-
vêtements	O	-
éclatants	O	-

femme	O	-
en	O	-
ébène	O	-
,	O	-
coiffée	O	-
d'	O	-
un	O	-
foulard	O	-
jaune	O	-
,	O	-
et	O	-
ballottante	O	-
en	O	-
des	O	-
vêtements	O	-
éclatants	O	-
.	O	-
Le	O	-
tour	O	-
des	O	-
Mauricaudes	O	-
viendra	O	-
sans	O	-
doute	O	-
,	O	-
car	O	-
j'	O	-
en	O	-
ai	O	-
vu	O	-
déjà	O	-
plusieurs	O	-

.	O	-
Le	O	-
tour	O	-
des	O	-
Mauricaudes	O	-
viendra	O	-
sans	O	-
doute	O	-
,	O	-
car	O	-
j'	O	-
en	O	-
ai	O	-
vu	O	-
déjà	O	-
plusieurs	O	-
qui	O	-
m'	O	-
ont	O	-
donné	O	-
quelque	O	-
envie	O	-
de	O	-
me	O	-
tremper	O	-
en	O	-
cette	O	-
encre	O	-
;	O	-
mais	O	-
je	O	-
suis	B-EVENT	32

qui	O	-
m'	O	-
ont	O	-
donné	O	-
quelque	O	-
envie	O	-
de	O	-
me	O	-
tremper	O	-
en	O	-
cette	O	-
encre	O	-
;	O	-
mais	O	-
je	O	-
suis	B-EVENT	16
tombé	I-EVENT	-
pour	O	-
mon	O	-
début	O	-
sur	O	-
quelque	O	-
chose	O	-
de	O	-
mieux	O	-
et	O	-
de	O	-
singulièrement	O	-
original	O	-
.	O	-
Tu	O	-
m'	O	-

tombé	I-EVENT	-
pour	O	-
mon	O	-
début	O	-
sur	O	-
quelque	O	-
chose	O	-
de	O	-
