Audoux	O	O	O	-
-	O	O	O	-
De	O	O	O	-
la	O	O	O	-
ville	O	O	O	-
au	O	O	O	-
moulin	O	O	O	-
1	O	O	O	-
5	O	O	O	-
-	O	O	O	-
20	O	O	O	-
I	O	O	O	-
Pour	O	O	O	-
la	O	O	O	-
seconde	O	O	O	-
fois	O	O	O	-
,	O	O	O	-
j'	S-PER	O	O	18
ouvris	O	O	O	-
les	O	O	O	-
yeux	O	O	O	-
sans	O	O	O	-
reconnaître	O	O	O	-
l'	O	O	O	-
endroit	O	O	O	-
où	O	O	O	-
je	B-PER	O	O	18
me	O	O	O	-
trouvais	O	O	O	-
couchée	O	O	O	-
.	O	O	O	-
Où	O	O	O	-
donc	O	O	O	-
était	O	O	O	-
notre	B-FAC	O	O	35
chambre	I-FAC	O	O	-
d'	I-FAC	O	O	-
enfant	E-FAC	O	O	-
,	O	O	O	-
avec	O	O	O	-
sa	B-FAC	O	O	35
fenêtre	O	O	O	-
grillagée	O	O	O	-
,	O	O	O	-
ses	B-FAC	O	O	35
murs	O	O	O	-
tapissés	O	O	O	-
de	O	O	O	-
papier	O	O	O	-
à	O	O	O	-
grosses	O	O	O	-
fleurs	O	O	O	-
,	O	O	O	-
et	O	O	O	-
sa	B-FAC	O	O	35
cheminée	O	O	O	-
tout	O	O	O	-
encombrée	O	O	O	-
de	O	O	O	-
photographies	O	O	O	-
?	O	O	O	-
Ici	B-FAC	O	O	62
c'	S-FAC	O	O	62
était	O	O	O	-
une	B-FAC	O	O	62
longue	I-FAC	O	O	-
salle	I-FAC	O	O	-
aux	I-FAC	O	O	-
murs	I-FAC	O	O	-
blancs	E-FAC	O	O	-
,	O	O	O	-
où	B-FAC	O	O	62
s'	O	O	O	-
alignaient	O	O	O	-
deux	O	O	O	-
rangées	O	O	O	-
de	O	O	O	-
petits	O	O	O	-
lits	O	O	O	-
et	O	O	O	-
où	B-FAC	O	O	62
s'	O	O	O	-
ouvraient	O	O	O	-
de	O	O	O	-
hautes	O	O	O	-
et	O	O	O	-
larges	O	O	O	-
fenêtres	O	O	O	-
laissant	O	O	O	-
voir	O	O	O	-
de	O	O	O	-
grands	O	O	O	-
carrés	O	O	O	-
de	O	O	O	-
ciel	O	O	O	-
bleu	O	O	O	-
.	O	O	O	-
J'	S-PER	O	O	18
abaissai	O	O	O	-
de	O	O	O	-
nouveau	O	O	O	-
les	O	O	O	-
paupières	O	O	O	-
,	O	O	O	-
espérant	O	O	O	-
que	O	O	O	-
tout	O	O	O	-
cela	O	O	O	-
disparaîtrait	O	O	O	-
et	O	O	O	-
que	O	O	O	-
j'	S-PER	O	O	18
allais	O	O	O	-
me	O	O	O	-
retrouver	O	O	O	-
chez	O	O	O	-
mes	B-PER	B-PER	O	18
parents	O	E-PER	O	-
,	O	O	O	-
dans	O	O	O	-
la	B-FAC	O	O	35
pièce	I-FAC	O	O	-
un	I-FAC	O	O	-
peu	I-FAC	O	O	-
sombre	I-FAC	O	O	-
où	B-FAC	O	O	35
étaient	O	O	O	-
les	O	O	O	-
lits	O	O	O	-
de	O	O	O	-
mes	B-PER	B-PER	O	18
frères	O	I-PER	O	-
et	O	I-PER	O	-
sœurs	O	E-PER	O	-
,	O	O	O	-
et	O	O	O	-
dans	O	O	O	-
tous	O	O	O	-
les	O	O	O	-
coins	O	O	O	-
,	O	O	O	-
entassés	O	O	O	-
pêle	O	O	O	-
-	O	O	O	-
mêle	O	O	O	-
,	O	O	O	-
des	O	O	O	-
jouets	O	O	O	-
de	O	O	O	-
toutes	O	O	O	-
sortes	O	O	O	-
et	O	O	O	-
de	O	O	O	-
toute	O	O	O	-
couleur	O	O	O	-
.	O	O	O	-
Pour	O	O	O	-
m'	O	O	O	-
assurer	O	O	O	-
que	O	O	O	-
j'	S-PER	O	O	18
étais	O	O	O	-
bien	O	O	O	-
éveillée	O	O	O	-
,	O	O	O	-
je	B-PER	O	O	18
cherchai	O	O	O	-
à	O	O	O	-
reconnaître	O	O	O	-
les	O	O	O	-
bruits	O	O	O	-
.	O	O	O	-
Il	O	O	O	-
ne	O	O	O	-
s'	O	O	O	-
en	O	O	O	-
faisait	O	O	O	-
guère	O	O	O	-
.	O	O	O	-
Seul	O	O	O	-
,	O	O	O	-
un	O	O	O	-
peu	O	O	O	-
en	O	O	O	-
arrière	O	O	O	-
de	O	O	O	-
moi	S-PER	O	O	18
,	O	O	O	-
un	B-PER	O	O	189
homme	I-PER	O	O	-
parlait	O	O	O	-
à	O	O	O	-
voix	O	O	O	-
basse	O	O	O	-
,	O	O	O	-
et	O	O	O	-
malgré	O	O	O	-
toute	O	O	O	-
mon	B-PER	O	O	18
attention	O	O	O	-
,	O	O	O	-
il	O	O	O	-
